accuracy,reaction_time,error_ratio,accuracy_trend,incorrect_responses,n
86.36363636363636,0.001974821090698242,0.13636363636363635,-0.5556983568676053,3,1
82.6086956521739,0.002014636993408203,0.17391304347826086,-0.6233760732149173,4,1
79.16666666666666,0.0020694732666015625,0.20833333333333334,-0.7036744439252676,5,1
100.0,0.0029022693634033203,0.0,49.99999999999997,0,1
50.0,0.0020737648010253906,0.5,-49.99999999999994,1,1
66.66666666666666,0.001941680908203125,0.3333333333333333,-16.666666666666696,1,1
75.0,0.002061605453491211,0.25,-5.833333333333338,1,1
80.0,0.0023651123046875,0.2,-1.500000000000003,1,1
83.33333333333334,0.0027434825897216797,0.16666666666666666,0.42857142857142655,1,1
85.71428571428571,0.001874685287475586,0.14285714285714285,1.3265306122449065,1,1
87.5,0.001804351806640625,0.125,1.7389455782312977,1,1
88.88888888888889,0.0017862319946289062,0.1111111111111111,1.908068783068781,1,1
90.0,0.001384735107421875,0.1,1.9506974506974541,1,1
90.9090909090909,0.00186920166015625,0.09090909090909091,1.9266036993309696,1,1
91.66666666666666,0.0017864704132080078,0.08333333333333333,1.8677408450135708,1,1
92.3076923076923,0.001804351806640625,0.07692307692307693,1.7917232340309228,1,1
92.85714285714286,0.0018987655639648438,0.07142857142857142,1.7084472304252505,1,1
86.66666666666667,0.0018413066864013672,0.13333333333333333,1.4568447425590254,2,1
87.5,0.0019288063049316406,0.125,1.274739149739155,2,1
88.23529411764706,0.001936197280883789,0.11764705882352941,1.1391873697237005,2,1
88.88888888888889,0.0018267631530761719,0.1111111111111111,1.035544145178095,2,1
89.47368421052632,0.0021886825561523438,0.10526315789473684,0.9542403293421712,2,1
90.0,0.0018756389617919922,0.1,0.8888914843778808,2,1
90.47619047619048,0.0021047592163085938,0.09523809523809523,0.8351566120252506,2,1
86.36363636363636,0.0018508434295654297,0.13636363636363635,0.7361338534452676,3,1
82.6086956521739,0.0018286705017089844,0.17391304347826086,0.611974422298454,4,1
79.16666666666666,0.001909017562866211,0.20833333333333334,0.4758316262373495,5,1
76.0,0.0025396347045898438,0.24,0.3362266345998996,6,1
100.0,0.0019185543060302734,0.0,0.4287062425892588,0,2
100.0,0.0020291805267333984,0.0,0.4987003263697869,0,2
100.0,0.0019421577453613281,0.0,0.5510450954573755,0,2
100.0,0.0015399456024169922,0.0,0.5894815981317961,0,2
100.0,0.002080202102661133,0.0,0.6169236480598289,0,2
100.0,0.0018932819366455078,0.0,0.6356549007344271,0,2
100.0,0.0020494461059570312,0.0,0.6474752231042142,0,2
100.0,0.0019562244415283203,0.0,0.6538103821641775,0,2
88.88888888888889,0.0017216205596923828,0.1111111111111111,0.5997725240363048,1,2
80.0,0.0020232200622558594,0.2,0.5092995504961564,2,2
81.81818181818183,0.002075672149658203,0.18181818181818182,0.4389862001163264,2,2
75.0,0.0019016265869140625,0.25,0.3485054781662653,3,2
69.23076923076923,0.0015764236450195312,0.3076923076923077,0.2468103856281703,4,2
71.42857142857143,0.002105712890625,0.2857142857142857,0.16748223666169595,4,2
73.33333333333333,0.0019414424896240234,0.26666666666666666,0.10582876139446441,4,2
75.0,0.0020918846130371094,0.25,0.058206564580060745,4,2
76.47058823529412,0.0019347667694091797,0.23529411764705882,0.02176341009158226,4,2
77.77777777777779,0.0019829273223876953,0.2222222222222222,-0.0057493893622990915,4,2
78.94736842105263,0.001977682113647461,0.21052631578947367,-0.02611555121268534,4,2
80.0,0.001953601837158203,0.2,-0.040757486246906824,4,2
76.19047619047619,0.002058267593383789,0.23809523809523808,-0.0640299834829887,5,2
72.72727272727273,0.002066373825073242,0.2727272727272727,-0.09349566850327401,6,2
